condition_name,category,drug_name
Abortion,Maternal/Reproductive,misoprostol
Abortion,Maternal/Reproductive,oxytocin
Acne Vulgaris,Dermatological,doxycycline
Acne Vulgaris,Dermatological,erythromycin
Acne Vulgaris,Dermatological,prednisolone
Acne Vulgaris,Dermatological,spironolactone
Acne Vulgaris,Dermatological,tetracycline
Acne Vulgaris,Dermatological,clarithromycin
Acute Bronchitis,Respiratory,amoxicillin
Acute Bronchitis,Respiratory,erythromycin
Acute Coronary Syndrome,Cardiovascular,aspirin
Acute Coronary Syndrome,Cardiovascular,amlodipine
Acute Coronary Syndrome,Cardiovascular,lisinopril
Acute Coronary Syndrome,Cardiovascular,diazepam
Acute Coronary Syndrome,Cardiovascular,morphine
Acute Coronary Syndrome,Cardiovascular,heparin
Acute Diarrhoea,Gastrointestinal,metronidazole
Acute Epiglottitis,Respiratory,amoxicillin
Acute Epiglottitis,Respiratory,ceftriaxone
Acute Kidney Injury,Renal/Urological,insulin
Acute Necrotizing Ulcerative Gingivitis,Dental/Oral Health,metronidazole
Acute Otitis Media,"ENT (Ear, Nose & Throat)",amoxicillin
Acute Otitis Media,"ENT (Ear, Nose & Throat)",paracetamol
Acute Peri-Apical Abscess,Dental/Oral Health,metronidazole
Acute Peri-Apical Abscess,Dental/Oral Health,amoxicillin
"Acute Rhinitis (Common Cold, Coryza)",Respiratory,paracetamol
"Acute Rhinitis (Common Cold, Coryza)",Respiratory,ibuprofen
Adenoid Diseases,"ENT (Ear, Nose & Throat)",amoxicillin
Allergic Conjunctivitis,Ophthalmology,diclofenac
Amoebiasis,Infectious/Tropical,metronidazole
Anemia in Pregnancy,Maternal/Reproductive,furosemide
Antiphospholipid Syndrome,Haematological,chloroquine
Antiphospholipid Syndrome,Haematological,aspirin
Antiphospholipid Syndrome,Haematological,prednisolone
Antiphospholipid Syndrome,Haematological,heparin
Antiphospholipid Syndrome,Haematological,warfarin
Antiphospholipid Syndrome,Haematological,hydroxychloroquine
Anxiety Disorder,Neurological/Mental,diazepam
Atopic Dermatitis (Atopic Eczema),Dermatological,prednisolone
Atopic Dermatitis (Atopic Eczema),Dermatological,hydrocortisone
Bacillary Dysentery,Infectious/Tropical,ciprofloxacin
Bacillary Dysentery,Infectious/Tropical,azithromycin
Bacillary Dysentery,Infectious/Tropical,cotrimoxazole
Back Pain,Musculoskeletal,paracetamol
Back Pain,Musculoskeletal,ibuprofen
Back Pain,Musculoskeletal,diclofenac
Back Pain,Musculoskeletal,tramadol
Bacterial Vaginosis,Maternal/Reproductive,metronidazole
Bipolar Disorders,Neurological/Mental,valproate
Bipolar Disorders,Neurological/Mental,haloperidol
Blood Transfusion,Haematological,furosemide
Blood Transfusion,Haematological,hydrocortisone
Bronchial Asthma,Respiratory,prednisolone
Bronchial Asthma,Respiratory,salbutamol
Bronchial Asthma,Respiratory,aminophylline
Bronchial Asthma,Respiratory,theophylline
Bronchiectasis,Respiratory,amoxicillin
Bronchiectasis,Respiratory,cotrimoxazole
Bronchiectasis,Respiratory,salbutamol
Carcinoma of the Prostate,Oncology,prednisolone
Cardiac Arrhythmias,Cardiovascular,atenolol
Cardiac Arrhythmias,Cardiovascular,warfarin
Cardiac Arrhythmias,Cardiovascular,digoxin
Cardiac Arrhythmias,Cardiovascular,amiodarone
Cardiac Disease in Pregnancy,Maternal/Reproductive,heparin
Cardiac Disease in Pregnancy,Maternal/Reproductive,warfarin
Cellulitis,Dermatological,gentamicin
Cellulitis,Dermatological,ciprofloxacin
Cellulitis,Dermatological,ampicillin
Cellulitis,Dermatological,ceftriaxone
Cellulitis,Dermatological,cloxacillin
"Chancroid (Ulcus Molle, Soft Chancre)",Infectious/Tropical,ciprofloxacin
"Chancroid (Ulcus Molle, Soft Chancre)",Infectious/Tropical,azithromycin
"Chancroid (Ulcus Molle, Soft Chancre)",Infectious/Tropical,erythromycin
"Chancroid (Ulcus Molle, Soft Chancre)",Infectious/Tropical,ceftriaxone
Chest Pain,Cardiovascular,paracetamol
Chest Pain,Cardiovascular,diclofenac
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,amoxicillin
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,azithromycin
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,doxycycline
Chlamydial Infection (Other Than Lymphogranuloma Venereum),Infectious/Tropical,erythromycin
Cholera,Infectious/Tropical,doxycycline
Cholera,Infectious/Tropical,erythromycin
Cholera,Infectious/Tropical,tetracycline
Chronic Lymphocytic Leukaemia,Oncology,prednisolone
Chronic Stable Angina (Angina Pectoris),Cardiovascular,amlodipine
Chronic Stable Angina (Angina Pectoris),Cardiovascular,atenolol
Chronic Stable Angina (Angina Pectoris),Cardiovascular,nifedipine
Gonorrhea in Children,Infectious/Tropical,ciprofloxacin
Gonorrhea in Children,Infectious/Tropical,ceftriaxone
Asphyxiated Babies,Paediatric,phenobarbitone
Asphyxia in Neonates,Paediatric,phenobarbitone
Colorectal Cancer,Oncology,metronidazole
Colorectal Cancer,Oncology,erythromycin
Congenital Heart Disease,Cardiovascular,digoxin
Coronavirus Disease (COVID-19),Infectious/Tropical,prednisolone
Coronavirus Disease (COVID-19),Infectious/Tropical,dexamethasone
Coronavirus Disease (COVID-19),Infectious/Tropical,hydrocortisone
Coronavirus Disease (COVID-19),Infectious/Tropical,heparin
Cutaneous Larva Migrans (Creeping Eruption),Dermatological,albendazole
Cutaneous Larva Migrans (Creeping Eruption),Dermatological,ivermectin
Deep Vein Thrombosis,Cardiovascular,heparin
Deep Vein Thrombosis,Cardiovascular,warfarin
Delirium,Neurological/Mental,haloperidol
Delirium,Neurological/Mental,haloperidol
Dental Caries,Dental/Oral Health,paracetamol
Dermatophyte Infections (Tinea),Dermatological,fluconazole
Diabetes in Pregnancy,Maternal/Reproductive,insulin
Diabetes Mellitus,Endocrine/Metabolic,metformin
Diabetes Mellitus,Endocrine/Metabolic,insulin
Dizziness,"ENT (Ear, Nose & Throat)",aspirin
Epistaxis,"ENT (Ear, Nose & Throat)",amoxicillin
Epistaxis,"ENT (Ear, Nose & Throat)",diazepam
Exfoliative Dermatitis (Erythroderma),Dermatological,prednisolone
Fevers,Infectious/Tropical,paracetamol
Fevers,Infectious/Tropical,aspirin
Food Poisoning,Infectious/Tropical,amoxicillin
Food Poisoning,Infectious/Tropical,erythromycin
Food Poisoning,Infectious/Tropical,ampicillin
Food Poisoning,Infectious/Tropical,gentamicin
Food Poisoning,Infectious/Tropical,ceftriaxone
Foreign Bodies in the Airways,Surgical/Emergency,amoxicillin
Foreign Bodies in the Airways,Surgical/Emergency,hydrocortisone
Foreign Body Impaction,Gastrointestinal,amoxicillin
Furunculosis (Boils),Dermatological,erythromycin
Gastritis,Gastrointestinal,amoxicillin
Gastritis,Gastrointestinal,omeprazole
Gastritis,Gastrointestinal,ranitidine
Gastritis,Gastrointestinal,clarithromycin
Giardiasis,Infectious/Tropical,metronidazole
Gingival Abscess,Dental/Oral Health,metronidazole
Gingival Abscess,Dental/Oral Health,amoxicillin
Gingival Abscess,Dental/Oral Health,paracetamol
Gout,Endocrine/Metabolic,prednisolone
Gout,Endocrine/Metabolic,diclofenac
Granuloma Inguinale (Donovanosis Granuloma Venereum),Infectious/Tropical,azithromycin
Granuloma Inguinale (Donovanosis Granuloma Venereum),Infectious/Tropical,doxycycline
Granuloma Inguinale (Donovanosis Granuloma Venereum),Infectious/Tropical,erythromycin
Granuloma Inguinale (Donovanosis Granuloma Venereum),Infectious/Tropical,gentamicin
Granuloma Inguinale (Donovanosis Granuloma Venereum),Infectious/Tropical,tetracycline
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,metronidazole
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,mebendazole
Guinea Worm Disease (Dracunculiasis),Infectious/Tropical,ivermectin
Haemorrhoids,Gastrointestinal,hydrocortisone
Heart Failure,Cardiovascular,lisinopril
Heart Failure,Cardiovascular,furosemide
Heart Failure,Cardiovascular,spironolactone
Heart Failure,Cardiovascular,warfarin
Heart Failure,Cardiovascular,digoxin
Helminthiasis,Infectious/Tropical,albendazole
Helminthiasis,Infectious/Tropical,mebendazole
Helminthiasis,Infectious/Tropical,ivermectin
Helminthiasis,Infectious/Tropical,praziquantel
Hyperglycemia in a Child,Endocrine/Metabolic,insulin
Hyperglycemia in a Child,Endocrine/Metabolic,insulin
Hypertension,Cardiovascular,amlodipine
Hypertension,Cardiovascular,lisinopril
Hypertension,Cardiovascular,atenolol
Hypertension,Cardiovascular,nifedipine
Hypoglycemia in a Child,Endocrine/Metabolic,hydrocortisone
Hypoglycemia in a Child,Endocrine/Metabolic,hydrocortisone
Idiopathic Inflammatory Myopathies,Musculoskeletal,chloroquine
Idiopathic Inflammatory Myopathies,Musculoskeletal,prednisolone
Idiopathic Inflammatory Myopathies,Musculoskeletal,hydroxychloroquine
Impetigo Contagiosa,Infectious/Tropical,erythromycin
Infective Conjunctivitis,Ophthalmology,erythromycin
Infective Conjunctivitis,Ophthalmology,ceftriaxone
Infective Conjunctivitis,Ophthalmology,tetracycline
Infective Endocarditis,Infectious/Tropical,amoxicillin
Infective Endocarditis,Infectious/Tropical,penicillin
Infective Endocarditis,Infectious/Tropical,gentamicin
